timestamp,x,y,z
2024-08-28T13:18:16.846535,-0.92,-0.92,-0.98
2024-08-28T13:18:17.092237,-1.1,-0.67,-1.04
2024-08-28T13:18:17.335938,-0.98,-0.37,-0.98
2024-08-28T13:18:17.615247,-0.67,-0.49,-0.85
2024-08-28T13:18:17.865730,-0.67,-0.61,-0.92
2024-08-28T13:18:18.109827,-1.1,-0.67,-1.22
2024-08-28T13:18:18.354695,-1.46,-0.92,-1.22
2024-08-28T13:18:18.596206,-0.79,-0.73,-0.98
2024-08-28T13:18:18.840244,-0.31,-0.79,-0.79
2024-08-28T13:18:19.096187,-0.73,-0.73,-0.85
2024-08-28T13:18:19.346493,-0.79,-0.79,-0.92
2024-08-28T13:18:19.585698,-0.92,-0.67,-0.98
2024-08-28T13:18:19.833096,-0.55,-0.61,-0.85
2024-08-28T13:18:20.099472,-0.43,-0.73,-0.85
2024-08-28T13:18:20.368419,-0.43,-0.61,-0.98
2024-08-28T13:18:20.615002,-0.55,-0.67,-0.98
2024-08-28T13:18:20.849988,-0.49,-0.55,-0.98
2024-08-28T13:18:21.239590,-0.85,-0.67,-0.98
2024-08-28T13:18:21.483229,-0.79,-0.79,-0.85
2024-08-28T13:18:21.740811,-0.37,-0.67,-0.79
2024-08-28T13:18:21.982243,-0.85,-0.55,-0.85
2024-08-28T13:18:22.229699,-0.73,-0.61,-0.92
2024-08-28T13:18:22.470694,0.18,-0.55,-0.73
2024-08-28T13:18:22.717890,-0.49,-0.67,-1.1
2024-08-28T13:18:22.969809,-1.04,-0.79,-1.16
2024-08-28T13:18:23.221233,-0.55,-0.55,-0.92
2024-08-28T13:18:23.467594,-0.24,-0.55,-0.73
2024-08-28T13:18:23.726951,-0.37,-0.55,-0.92
2024-08-28T13:18:23.996858,-0.49,-0.37,-1.04
2024-08-28T13:18:24.233955,-0.49,-0.49,-0.98
2024-08-28T13:18:24.479859,-0.31,-0.49,-0.85
2024-08-28T13:18:24.725536,-0.37,-0.55,-0.85
2024-08-28T13:18:24.969574,-0.49,-0.49,-0.92
2024-08-28T13:18:25.202380,-0.43,-0.49,-0.85
2024-08-28T13:18:25.450659,-0.55,-0.61,-0.92
2024-08-28T13:18:25.696417,-0.43,-0.49,-0.92
2024-08-28T13:18:25.941088,-0.61,-0.55,-0.98
2024-08-28T13:18:26.198040,-0.55,-0.67,-0.85
2024-08-28T13:18:26.440685,-0.37,-0.55,-0.85
2024-08-28T13:18:26.692729,-0.61,-0.49,-0.85
2024-08-28T13:18:26.932409,-0.43,-0.43,-0.92
2024-08-28T13:18:27.178437,-0.55,-0.49,-1.04
2024-08-28T13:18:27.425730,-0.61,-0.55,-1.04
2024-08-28T13:18:27.667941,-0.85,-0.49,-0.98
2024-08-28T13:18:27.914642,-0.92,-0.55,-0.79
2024-08-28T13:18:28.160920,-1.04,-0.79,-0.85
2024-08-28T13:18:28.418573,-0.98,-0.73,-0.92
2024-08-28T13:18:28.658555,-0.92,-0.55,-0.98
2024-08-28T13:18:28.899533,-0.98,-0.67,-0.92
2024-08-28T13:18:29.160290,-0.73,-0.61,-0.85
2024-08-28T13:18:29.408898,-0.31,-0.43,-0.85
2024-08-28T13:18:29.654179,-0.18,-0.43,-0.92
2024-08-28T13:18:29.900720,-0.24,-0.61,-0.85
2024-08-28T13:18:30.144612,0.06,-0.43,-0.98
2024-08-28T13:18:30.379281,-0.43,-0.55,-0.98
2024-08-28T13:18:30.622331,-0.18,-0.49,-0.98
2024-08-28T13:18:30.870198,-0.06,-0.67,-0.92
2024-08-28T13:18:31.120691,-0.31,-0.73,-1.1
2024-08-28T13:18:31.367585,-0.67,-0.31,-1.22
2024-08-28T13:18:31.612489,-0.79,-0.18,-1.1
2024-08-28T13:18:31.851880,-0.61,-0.61,-0.85
2024-08-28T13:18:32.120789,-0.49,-0.79,-0.73
2024-08-28T13:18:32.366581,-0.49,-0.73,-0.98
2024-08-28T13:18:32.617900,-0.61,-0.73,-0.79
2024-08-28T13:18:32.883644,-0.43,-0.49,-0.73
2024-08-28T13:18:33.132899,-0.37,-0.31,-0.79
2024-08-28T13:18:33.385609,-0.73,-0.49,-0.73
2024-08-28T13:18:33.623349,-0.67,-0.43,-1.04
2024-08-28T13:18:33.868357,-0.67,-0.55,-1.04
2024-08-28T13:18:34.106485,-0.43,-0.73,-0.92
2024-08-28T13:18:34.351521,-0.49,-0.67,-0.85
2024-08-28T13:18:34.593856,-0.67,-0.49,-0.98
2024-08-28T13:18:34.832793,-0.92,-0.43,-0.98
2024-08-28T13:18:35.078856,-0.37,-0.31,-0.85
2024-08-28T13:18:35.318596,-0.37,-0.73,-0.85
2024-08-28T13:18:35.561766,-0.49,-0.67,-1.1
2024-08-28T13:18:35.801347,-0.43,-0.37,-1.1
2024-08-28T13:18:36.050396,-0.31,-0.55,-0.92
2024-08-28T13:18:36.287154,-0.24,-0.55,-0.85
2024-08-28T13:18:36.521434,-0.49,-0.43,-0.98
2024-08-28T13:18:36.761991,-0.37,-0.37,-1.04
2024-08-28T13:18:37.014041,-0.37,-0.43,-0.92
2024-08-28T13:18:37.268741,-0.18,-0.49,-0.85
2024-08-28T13:18:37.516693,-0.55,-0.43,-0.98
2024-08-28T13:18:37.765904,-0.55,-0.55,-0.98
2024-08-28T13:18:38.003316,-0.49,-0.61,-0.98
2024-08-28T13:18:38.248072,-0.43,-0.73,-0.98
2024-08-28T13:18:38.489835,-0.67,-0.61,-0.98
2024-08-28T13:18:38.726711,-0.37,-0.43,-0.92
2024-08-28T13:18:38.966392,-0.55,-0.43,-0.85
2024-08-28T13:18:39.194076,-0.61,-0.31,-1.04
2024-08-28T13:18:39.448725,-0.43,-0.55,-0.85
2024-08-28T13:18:39.699880,0.12,-0.85,-0.61
2024-08-28T13:18:39.935866,-0.37,-0.73,-0.73
2024-08-28T13:18:40.185853,-0.79,-0.37,-0.92
2024-08-28T13:18:40.419536,-0.79,-0.31,-0.98
2024-08-28T13:18:40.684711,0.0,-0.24,-0.67
2024-08-28T13:18:40.921054,-0.06,-0.49,-0.67
2024-08-28T13:18:41.172204,0.06,-0.61,-0.85
2024-08-28T13:18:41.428422,-0.61,-0.24,-1.28
2024-08-28T13:18:41.879288,0.0,-0.24,-1.04
2024-08-28T13:18:42.123591,0.18,-0.49,-0.67
2024-08-28T13:18:42.363582,0.37,-0.73,-0.43
2024-08-28T13:18:42.604112,0.43,-0.49,-0.73
2024-08-28T13:18:42.846558,-0.24,-0.43,-1.16
2024-08-28T13:18:43.079347,-0.18,-0.43,-0.92
2024-08-28T13:18:43.319909,0.18,-0.55,-0.79
2024-08-28T13:18:43.557459,0.31,-0.61,-0.79
2024-08-28T13:18:43.801584,0.18,-0.49,-1.04
2024-08-28T13:18:44.054148,-0.06,-0.37,-1.16
2024-08-28T13:18:44.293832,0.0,-0.37,-0.98
2024-08-28T13:18:44.528175,0.43,-0.43,-0.85
2024-08-28T13:18:44.761573,0.0,-0.43,-0.98
2024-08-28T13:18:45.014980,-0.06,-0.37,-1.04
2024-08-28T13:18:45.257674,-0.18,-0.55,-0.85
2024-08-28T13:18:45.489724,-0.37,-0.67,-0.92
2024-08-28T13:18:45.735117,-0.12,-0.55,-0.98
2024-08-28T13:18:45.969256,-0.79,-0.43,-1.16
2024-08-28T13:18:46.199215,-0.18,-0.49,-0.79
2024-08-28T13:18:46.782688,0.67,0.0,-0.73
2024-08-28T13:18:47.032960,-0.49,-0.49,-0.92
2024-08-28T13:18:47.272675,-0.06,-0.18,-0.85
2024-08-28T13:18:47.500445,0.06,-0.61,-0.73
2024-08-28T13:18:47.736322,-0.12,-0.31,-0.85
2024-08-28T13:18:47.985517,-0.43,-0.49,-0.85
2024-08-28T13:18:48.219968,-0.06,-0.24,-0.73
2024-08-28T13:18:48.467273,-0.06,-0.49,-0.79
2024-08-28T13:18:49.021927,0.12,-0.18,-0.98
2024-08-28T13:18:49.268136,-0.37,-0.31,-1.1
2024-08-28T13:18:49.515003,0.18,-0.43,-0.98
2024-08-28T13:18:49.757005,0.06,-0.55,-0.79
2024-08-28T13:18:49.983073,0.18,-0.43,-0.79
2024-08-28T13:18:50.218840,-0.12,-0.43,-0.79
2024-08-28T13:18:50.456926,0.18,0.06,-0.73
2024-08-28T13:18:50.698861,-0.37,-0.67,-0.79
2024-08-28T13:18:50.935719,0.18,-0.61,-0.98
2024-08-28T13:18:51.168777,-0.18,-0.98,-0.92
2024-08-28T13:18:51.394971,0.18,-0.37,-1.1
2024-08-28T13:18:51.626190,-0.49,-0.31,-1.1
2024-08-28T13:18:51.859347,-0.43,-0.43,-1.04
2024-08-28T13:18:52.091351,-0.61,-0.55,-1.1
2024-08-28T13:18:52.322968,-0.73,-0.73,-1.04
2024-08-28T13:18:52.550454,-1.16,-0.98,-1.04
2024-08-28T13:18:52.776984,-2.14,-0.79,-1.1
2024-08-28T13:18:53.029310,-1.22,-0.73,-0.92
2024-08-28T13:18:53.254995,-0.61,-0.67,-0.61
2024-08-28T13:18:53.496336,-0.85,-0.92,-0.73
2024-08-28T13:18:53.735128,-0.73,-0.73,-0.98
2024-08-28T13:18:53.960953,-0.73,-0.67,-1.1
2024-08-28T13:18:54.219824,-0.67,-0.55,-0.92
2024-08-28T13:18:54.464401,-1.1,-0.49,-0.79
2024-08-28T13:18:54.696320,-0.98,-0.55,-0.73
2024-08-28T13:18:54.945304,-0.92,-0.92,-0.67
2024-08-28T13:18:55.197307,-0.06,-0.98,-0.79
2024-08-28T13:18:55.429416,-0.12,-0.49,-1.1
2024-08-28T13:18:55.673652,-0.67,-0.49,-1.22
2024-08-28T13:18:55.922390,-1.04,-0.79,-1.04
2024-08-28T13:18:56.153489,-0.06,-0.49,-0.92
2024-08-28T13:18:56.383167,-0.61,-0.85,-1.22
2024-08-28T13:18:56.634328,-0.61,-0.61,-1.28
2024-08-28T13:18:56.881637,-0.92,-0.67,-1.1
2024-08-28T13:18:57.133885,-0.55,-0.43,-0.85
2024-08-28T13:18:57.371391,-0.85,-0.92,-0.67
2024-08-28T13:18:57.603176,-1.59,-0.85,-0.73
2024-08-28T13:18:57.833601,-1.04,-0.61,-1.1
2024-08-28T13:18:58.072516,-1.77,-0.67,-1.1
2024-08-28T13:18:58.315869,-0.31,-0.49,-0.67
2024-08-28T13:18:58.554248,-0.85,-0.61,-0.49
2024-08-28T13:18:58.801832,0.06,-0.79,-0.43
2024-08-28T13:18:59.082996,-0.06,-0.61,-0.92
2024-08-28T13:18:59.330011,-1.22,-0.06,-1.34
2024-08-28T13:18:59.573214,0.18,-0.18,-0.73
2024-08-28T13:18:59.809303,-0.31,-0.92,-0.43
2024-08-28T13:19:00.042851,0.0,-0.92,-0.79
2024-08-28T13:19:00.285347,-0.79,-0.61,-1.59
2024-08-28T13:19:00.518535,-0.92,-0.61,-1.53
2024-08-28T13:19:00.754728,-1.16,-0.73,-1.16
2024-08-28T13:19:00.983082,-0.79,-0.79,-0.79
2024-08-28T13:19:01.223158,-0.31,-1.04,-0.61
